dataset,n_chains,n_residues,threshold,mcc,f1,recall,precision,specificity,auc,ap
DNA_Test_129,129,37515,0.58,0.5860,0.6111,0.6237,0.5991,0.9735,0.9525,0.6361
DNA_Test_181,181,75088,0.55,0.4252,0.4432,0.5766,0.3600,0.9543,0.9198,0.4171
RNA_Test_117,117,37345,0.40,0.3512,0.3696,0.6081,0.2655,0.9033,0.8759,0.2997
RNA_Test_285,285,45317,0.34,0.4161,0.4722,0.4894,0.4562,0.9400,0.8679,0.4438
